새절,37.591148,126.913629,616
증산,37.583876,126.909645,617
월드컵경기장,37.569532,126.899298,619
마포구청,37.563515,126.903343,620
망원,37.556094,126.910052,621
상수,37.547716,126.922852,623
광흥창,37.547456,126.931993,624
대흥,37.547771,126.942069,625
녹사평,37.534675,126.986695,629
이태원,37.534488,126.994302,630
한강진,37.539631,127.001725,631
버티고개,37.548013,127.007055,632
창신,37.579661,127.015241,637
안암,37.586272,127.029005,639
고려대,37.590508,127.036296,640
월곡,37.601948,127.041518,641
상월곡,37.606377,127.048491,642
돌곶이,37.610537,127.056431,643
화랑대,37.620064,127.084689,646
봉화산,37.617283,127.091401,647
장암,37.700109,127.053196,709
수락산,37.67785,127.055315,711
마들,37.66494,127.057675,712
중계,37.644583,127.064303,714
하계,37.636352,127.06799,715
먹골,37.610637,127.077725,718
중화,37.602545,127.079264,719
면목,37.588579,127.087503,721
사가정,37.580894,127.088478,722
용마산,37.573647,127.086727,723
중곡,37.565923,127.08432,724
어린이대공원,37.548014,127.074658,726
뚝섬유원지,37.53154,127.066704,728
청담,37.519365,127.05335,729
학동,37.514229,127.031656,731
논현,37.511093,127.021415,732
반포,37.508178,127.011727,733
내방,37.487618,126.993513,735
남성,37.484596,126.971251,737
숭실대입구,37.496029,126.953822,738
장승배기,37.504898,126.93915,740
신대방삼거리,37.499701,126.928276,741
보라매,37.499872,126.920428,742
신풍,37.50008,126.90993,743
남구로,37.486056,126.887249,745
철산,37.47605,126.867911,747
광명사거리,37.479252,126.854876,748
천왕,37.486637,126.838713,749
까치울,37.506207,126.810939,751
부천종합운동장,37.50538,126.797337,752
춘의,37.503663,126.787036,753
신중동,37.503048,126.77596,754
부천시청,37.504631,126.763538,755
상동,37.505781,126.753083,756
삼산체육관,37.506411,126.742153,757
굴포천,37.506997,126.73128,758
암사,37.55021,127.127562,810
강동구청,37.530341,127.120508,812
몽촌토성,37.517409,127.112359,813
석촌,37.505431,127.106979,815
송파,37.499703,127.112183,816
문정,37.485855,127.1225,818
장지,37.478703,127.126191,819
산성,37.457122,127.149908,822
남한산성입구,37.451535,127.159816,823
단대오거리,37.44521,127.156866,824
신흥,37.440918,127.147564,825
수진,37.437428,127.140722,826
석남,37.506193,126.676203,761
개화,37.578608,126.798153,901
공항시장,37.563726,126.810678,903
신방화,37.567532,126.816601,904
마곡나루,37.567336,126.829497,905
양천향교,37.568381,126.841333,906
가양,37.561391,126.854456,907
증미,37.557402,126.861939,908
등촌,37.550632,126.865689,909
염창,37.546936,126.874916,910
신목동,37.544277,126.88308,911
선유도,37.53802,126.893525,912
국회의사당,37.528105,126.917874,914
샛강,37.517274,126.928422,916
노들,37.512887,126.953222,918
흑석,37.50877,126.963708,919
구반포,37.501364,126.987332,921
신반포,37.503415,126.995925,922
사평,37.504206,127.015259,924
신논현,37.504598,127.02506,925
언주,37.507287,127.033868,926
삼성중앙,37.513011,127.053282,928
봉은사,37.514219,127.060245,929
종로3가,37.571607,126.991806,534
종로3가,37.571607,126.991806,329
동대문,37.57142,127.009745,421
동대문역사문화공원,37.565138,127.007896,536
동대문역사문화공원,37.565138,127.007896,422
충무로,37.561243,126.99428,423
가락시장,37.492522,127.118234,817
신도림,37.508725,126.891295,234
왕십리,37.561533,127.037732,540
시청,37.564718,126.977108,201
교대,37.493415,127.01408,340
신설동,37.575297,127.025087,211-4
남위례,37.462856,127.139064,821
까치산,37.531768,126.846683,234-4
을지로3가,37.566295,126.99191,330
진접,37.719823,127.203248,405
오남,37.705273,127.19121,406
별내별가람,37.667776,127.116053,408
오금,37.502162,127.128111,P552
영등포구청,37.52497,126.895951,523
신길,37.517122,126.917169,525
을지로4가,37.566941,126.998079,535
강일,37.557471,127.17571,554
미사,37.563373,127.19263,555
하남풍산,37.552059,127.20388,556
하남시청,37.541967,127.206298,557
하남검단산,37.539827,127.2231,558
합정,37.549463,126.913739,622
공덕,37.544018,126.951592,626
삼각지,37.534777,126.97311,628
불광,37.610469,126.929887,612
연신내,37.619001,126.921008,614
약수,37.55434,127.010655,633
신당,37.565972,127.01782,635
동묘앞,37.572627,127.016429,636
석계,37.614805,127.065851,644
도봉산,37.689313,127.046222,710
금정,37.372221,126.943429,P149
평택지제,37.018822,127.070269,P164
탕정,36.78827,127.084638,P173
종합운동장,37.510997,127.073642,930
천호,37.538397,127.123572,811
창동,37.653166,127.047731,412
사당,37.47653,126.981685,433
노원,37.655128,127.061368,713
군자,37.557121,127.079542,725
건대입구,37.540693,127.07023,727
고속터미널,37.50481,127.004943,734
고속터미널,37.50481,127.004943,923
이수,37.486263,126.981989,736
대림,37.49297,126.895801,744
온수,37.492258,126.823388,750
산곡,37.508649,126.703034,760
잠실,37.51395,127.102234,814
삼전,37.503873,127.089064,931
석촌고분,37.502387,127.096942,932
당산,37.53438,126.902281,913
여의도,37.521624,126.924191,915
동작,37.502971,126.979306,920
김포공항,37.562434,126.801058,902
가산디지털단지,37.481072,126.882343,P142
태릉입구,37.617983,127.07512,717
충정로,37.559973,126.963672,531
청구,37.560245,127.013828,634
노량진,37.514219,126.942454,917
올림픽공원,37.516078,127.130848,P550
중앙보훈병원,37.5268,127.147633,938
둔촌오륜,37.519296,127.138675,937
한성백제,37.516421,127.116248,935
송파나루,37.510276,127.112224,934
석촌,37.505431,127.106979,933
